"cell","X","Y","Z"
"ID_23777","52.1778443856366","22.73729546456819","24.0"
"ID_23486","44.067206229368395","18.786910678802574","7.0"
"ID_23462","39.31819721293405","20.570941623573205","6.7894736842105265"
"ID_23503","48.08034219798926","19.456784162666516","8.470588235294118"
"ID_23524","51.91062009243827","20.60286151195242","10.556818181818182"
"ID_23594","53.972361664669364","21.080790311559543","14.0"
"ID_23711","37.13912110858676","31.364687853237474","20.755725190839694"
"ID_23731","36.01782671550114","27.12874805898062","21.77906976744186"
"ID_23652","25.690025690025692","26.63127663127663","17.84722222222222"
"ID_23688","32.09123898779072","27.459337804165393","19.56896551724138"
"ID_23628","29.025029025029024","25.65002565002565","16.0"
"ID_23704","29.619721927414236","25.370333062640753","20.0"
"ID_23558","27.363997952233248","22.740905093846273","12.661764705882353"
"ID_23575","24.331899331899333","24.65814965814966","13.0"
"ID_23576","22.519906240836473","25.811188601886276","13.0"
"ID_23577","19.11911747977322","25.926665270927565","13.549180327868852"
"ID_23529","23.814023814023816","25.923400923400926","10.0"
"ID_23530","19.63126963126963","26.470338970338968","10.0"
"ID_23539","15.736072074100242","23.79678436016464","11.0"
"ID_23596","12.800539116328592","23.69212895528685","14.052631578947368"
"ID_23545","32.060707736383414","30.8603011305714","11.0"
"ID_23581","28.080028080028082","33.31198643698644","13.78125"
"ID_23633","28.468616703910822","30.053677112500644","16.0"
"ID_23657","31.039890194819773","33.049047133554176","17.760563380281692"
"ID_23617","23.292490824958357","32.048213866395685","15.662337662337663"
"ID_23658","20.318591747163175","33.51431922860495","17.0"
"ID_23562","21.33555979709826","30.767569229107693","12.784615384615385"
"ID_23822","25.333358666691993","29.844474288918736","11.506172839506172"
"ID_23656","26.83100244075854","32.58003258003258","17.0"
"ID_23689","22.708746113001432","31.915563830457447","19.0"
"ID_23635","18.984117344773082","30.57347319642402","16.80327868852459"
"ID_23632","15.48876548876549","29.126279126279126","16.416666666666668"
"ID_23610","20.97703396404695","19.020408630798244","15.0"
"ID_23593","24.35234993374528","20.175717850136454","14.0"
"ID_23823","30.177811828227117","17.940930621632237","11.230215661609407"
"ID_23525","19.884906248542613","21.53763517399881","10.045454545454545"
"ID_23526","23.842676903901395","22.09410372675679","10.306122448979592"
"ID_23574","18.207321578108097","20.11855944440214","13.02247191011236"
"ID_23612","14.271832453650635","19.854565309110765","15.0"
"ID_23725","38.51877091313711","23.40382622072763","21.366197183098592"
"ID_23744","35.90480334666381","22.849557733278665","22.11627906976744"
"ID_23685","33.73375713801246","21.15002115002115","19.75531914893617"
"ID_23702","31.33244512554857","22.995540236919545","20.919540229885058"
"ID_23647","29.840799071568302","21.248098171175094","17.0"
"ID_23684","26.553401553401557","21.134271134271135","19.0"
"ID_23698","24.521495109730402","16.510604745898863","20.137254901960784"
"ID_23681","21.30285149153074","17.098318985111437","19.18867924528302"
"ID_23682","18.31651831651832","17.47951747951748","19.0"
"ID_23625","24.905940398898146","15.21001521001521","16.690140845070424"
"ID_23662","21.673146673146675","13.532357282357284","18.0"
"ID_23571","22.646272646272646","15.39001539001539","13.0"
"ID_23821","27.042765940003626","16.7045484774767","12.830896462578314"
"ID_23667","29.369397790450424","17.187175081911924","18.263157894736842"
"ID_23664","32.21603221603222","15.015015015015017","18.377777777777776"
"ID_23534","32.08411371676678","14.669096301749363","11.724489795918368"
"ID_23591","28.935028935028935","14.358014358014358","14.922222222222222"
"ID_23613","33.43447787892232","20.464464908909353","15.0"
"ID_23595","37.70623488933348","21.93466982199377","14.126760563380282"
"ID_23537","34.37606378782849","20.713256007373655","11.0"
"ID_23538","29.273935523935524","20.95877095877096","11.0"
"ID_23528","33.50750719171772","24.117182011918857","10.25263157894737"
"ID_23542","27.955559870453484","26.50023926619671","11.617021276595745"
"ID_23560","36.16892505781395","25.882248104470328","12.901234567901234"
"ID_23616","32.29438012046708","27.069157503940115","15.0"
"ID_23527","37.980037980037984","23.76002376002376","10.0"
"ID_23559","42.47612943265117","25.824808433504085","12.0"
"ID_23541","45.75686393868212","24.48684266866085","11.0"
